Location,Locname,Postcode,HB2019,HB2019Name
G066G,Infinity Smiles - Greenock,,NA,NA
G067A,Sterile Services Department,PA16 7NN,S08000031,NHS Greater Glasgow and Clyde
G067B,GP Surgery,G4 9BL,S08000031,NHS Greater Glasgow and Clyde
G067G,Infinity Smiles - Jordanhill,,NA,NA
G068A,East Renfrewshire CHP,G46 8NG,S08000031,NHS Greater Glasgow and Clyde
G068B,GP Surgery,G40 1HN,S08000031,NHS Greater Glasgow and Clyde
G068G,Park Orthodontics,,NA,NA
G069A,Parent and Child Team,G15 8NA,S08000031,NHS Greater Glasgow and Clyde
G069B,GP Surgery,G40 3ET,S08000031,NHS Greater Glasgow and Clyde
G069G,Giffnock Orthodontic Centre,,NA,NA
G070A,NHSGGC Central Stores,G52 4NY,S08000031,NHS Greater Glasgow and Clyde
G070B,Kinning Park Medical Centre (Ailsa),G41 1HU,S08000031,NHS Greater Glasgow and Clyde
G070G,Milngavie Orthodontics,,NA,NA
G071A,East Dunbartonshire Council HQ,G66 4TJ,S08000031,NHS Greater Glasgow and Clyde
G071B,Arran GP Surgery,G41 1HU,S08000031,NHS Greater Glasgow and Clyde
G071G,Kirkintilloch Orthodontic Clinic,,NA,NA
G072A,Pharmacy Distribution Centre,G51 2BQ,S08000031,NHS Greater Glasgow and Clyde
G072B,Mull GP Surgery,G41 1HU,S08000031,NHS Greater Glasgow and Clyde
G072G,Orthodontic Practice - Neilston Road,,NA,NA
G073A,Directorate of Delivery,G2 5SG,S08000031,NHS Greater Glasgow and Clyde
G073B,GP Surgery,G41 2NP,S08000031,NHS Greater Glasgow and Clyde
G073G,Glasgow Southside Orthodontics,,NA,NA
G074A,Robertson Centre,G12 8QQ,S08000031,NHS Greater Glasgow and Clyde
G074B,GP Surgery,G42 8QD,S08000031,NHS Greater Glasgow and Clyde
G074G,Physiotherapy Paediatric MSK,,NA,NA
G075A,Legal House (Admin Office),G5 9DW,S08000031,NHS Greater Glasgow and Clyde
G075B,GP Surgery,G41 3AA,S08000031,NHS Greater Glasgow and Clyde
G075G,General Surgery GG&C,,NA,NA
G076A,Crown House,PA15 1NL,S08000031,NHS Greater Glasgow and Clyde
G076B,GP Surgery,G41 3PT,S08000031,NHS Greater Glasgow and Clyde
G076G,West Dunbartonshire ICF,,NA,NA
G077A,NHS GG&C Clydebank Condition Management,G81 2LA,S08000031,NHS Greater Glasgow and Clyde
G077B,Shawlands Surgery,G41 3RG,S08000031,NHS Greater Glasgow and Clyde
G077G,Money Advice (Glasgow City),,NA,NA
G078A,Paisley Partnership Regeneration Building,PA3 1NS,S08000031,NHS Greater Glasgow and Clyde
G078B,GP Surgery,G41 3UJ,S08000031,NHS Greater Glasgow and Clyde
G078G,Medicines Compliance - Renfrewshire HSCP,,NA,NA
G079A,Forensic Child and Adolescent Mental Health,G41 1JH,S08000031,NHS Greater Glasgow and Clyde
G079B,GP Surgery,G41 3YE,S08000031,NHS Greater Glasgow and Clyde
G079G,Social Support Services - Glasgow City,,NA,NA
G080A,Condition Management Office,PA15 1JG,S08000031,NHS Greater Glasgow and Clyde
G080B,GP Surgery,G41 3YT,S08000031,NHS Greater Glasgow and Clyde
G080G,Adult Autism (GG&C),,NA,NA
G081A,Petershill Asylum Health Team,G21 4QQ,S08000031,NHS Greater Glasgow and Clyde
G081B,GP Surgery,G41 5RU,S08000031,NHS Greater Glasgow and Clyde
G081G,GGC (Beatson) Cancer Treatment Centre,,NA,NA
G082A,West Dunbartonshire CAT,G81 1UG,S08000031,NHS Greater Glasgow and Clyde
G082B,GP Surgery,G41 1HU,S08000031,NHS Greater Glasgow and Clyde
G082G,Lymphoedema Service (GG&C),,NA,NA
G083A,West Dunbartonshire HSCP Headquarters,G82 3PU,S08000031,NHS Greater Glasgow and Clyde
G083B,GP Surgery,G42 8DS,S08000031,NHS Greater Glasgow and Clyde
G083G,Oral Health Services - Public,,NA,NA
G084A,Elliot Street Mews,G3 8DZ,S08000031,NHS Greater Glasgow and Clyde
G084B,GP Surgery,G42 8LF,S08000031,NHS Greater Glasgow and Clyde
G084G,AHP North OTPT - Orthopaedics and Surgical,,NA,NA
G085A,Claremont Centre,G41 1BS,S08000031,NHS Greater Glasgow and Clyde
G085B,GP Surgery,G42 9EG,S08000031,NHS Greater Glasgow and Clyde
G085G,AHP North OT/PT - Medical,,NA,NA
G086A,Back Sneddon Centre,PA3 2DJ,S08000031,NHS Greater Glasgow and Clyde
G086B,GP Surgery,G42 9HN,S08000031,NHS Greater Glasgow and Clyde
G086G,AHP North OT/PT - Older People,,NA,NA
G087A,Scottish Health Council Greater Glasgow & Clyde,G5 0YZ,S08000031,NHS Greater Glasgow and Clyde
G087B,GP Surgery,G42 9JT,S08000031,NHS Greater Glasgow and Clyde
G087G,AHP North OT/PT - Rheumatology,,NA,NA
G088A,SALUS,G2 8LX,S08000031,NHS Greater Glasgow and Clyde
G088B,GP Surgery,G42 9LE,S08000031,NHS Greater Glasgow and Clyde
G088G,AHP North PT - Orthopaedics,,NA,NA
G089A,South Portland Street Resource Centre,G5 9JJ,S08000031,NHS Greater Glasgow and Clyde
G089B,GP Surgery,G42 9XW,S08000031,NHS Greater Glasgow and Clyde
G089G,AHP North PT - Surgical,,NA,NA
G090A,Glasgow Centre for Population Health,G2 4NE,S08000031,NHS Greater Glasgow and Clyde
G090B,GP Surgery,G42 0EH,S08000031,NHS Greater Glasgow and Clyde
G090G,AHP South OT/PT - DME,,NA,NA
G091A,The Bridge,G34 9JW,S08000031,NHS Greater Glasgow and Clyde
G091B,Merrylee Medical Centre,G44 3DH,S08000031,NHS Greater Glasgow and Clyde
G091G,AHP South OT/PT - Medical,,NA,NA
G092A,Gourock Muncipal Buildings,PA19 1QY,S08000031,NHS Greater Glasgow and Clyde
G092B,GP Surgery,G44 3DS,S08000031,NHS Greater Glasgow and Clyde
G092G,AHP South OT/PT - Orthopaedics,,NA,NA
G093A,Compass,G21 4SF,S08000031,NHS Greater Glasgow and Clyde
G093B,GP Surgery,G44 3QG,S08000031,NHS Greater Glasgow and Clyde
G093G,AHP South OT/PT - Surgical CC Vascular,,NA,NA
G094A,NHS Project Office NSGH Construction Site,G51 4SX,S08000031,NHS Greater Glasgow and Clyde
G094B,GP Surgery,G44 4JE,S08000031,NHS Greater Glasgow and Clyde
G094G,Mental Health Services GG&C,,NA,NA
G095A,Inverclyde CHCP,PA15 1NB,S08000031,NHS Greater Glasgow and Clyde
G095B,GP Surgery,G44 5DQ,S08000031,NHS Greater Glasgow and Clyde
G095G,AHP - Rotational GG&C,,NA,NA
G096A,Hospital Broadcasting Service,G2 6HJ,S08000031,NHS Greater Glasgow and Clyde
G096B,GP Surgery,G44 5HH,S08000031,NHS Greater Glasgow and Clyde
G096G,AHP - Rotational North,,NA,NA
G097A,Southern Sound Unit,G51 3BB,S08000031,NHS Greater Glasgow and Clyde
G097B,GP Surgery,G44 5JR,S08000031,NHS Greater Glasgow and Clyde
G097G,AHP - Rotational South,,NA,NA
G098A,Clyde House,G51 1HJ,S08000031,NHS Greater Glasgow and Clyde
G098B,GP Surgery,G44 5JT,S08000031,NHS Greater Glasgow and Clyde
G098G,AHP GG&C SLT Acute,,NA,NA
G099A,QuEST,G2 8LH,S08000031,NHS Greater Glasgow and Clyde
G099B,GP Surgery,G45 9JH,S08000031,NHS Greater Glasgow and Clyde
G099G,AHP GG&C SLT Outpatient,,NA,NA
G100A,Smithhills Paisley,PA1 1EB,S08000031,NHS Greater Glasgow and Clyde
G100C,Eastern District Clinics,,NA,NA
G100G,AHP GG&C SLT Rehab,,NA,NA
G100N,Domiciliary Births,,NA,NA
G101A,Eastern District,,NA,NA
G101B,Bridgeton Health Centre/ Child Development Centre,G40 2DA,S08000031,NHS Greater Glasgow and Clyde
G101C,Homoeopathic Out-Patient Clinic,G69 6DA,S08000031,NHS Greater Glasgow and Clyde
G101G,AHP GGC Dietetic Clyde,,NA,NA
G101H,Belvidere Hospital,G31 4PG,S08000031,NHS Greater Glasgow and Clyde
G101L,Bluevale Primary School,,NA,NA
G101N,Glasgow Ophthalmic Institution,G2 2RQ,S08000031,NHS Greater Glasgow and Clyde
G101P,H M Prison - Barlinnie Prison,G33 2QX,S08000031,NHS Greater Glasgow and Clyde
G101Q,St Andrew's Secondary School,G32 6QE,S08000031,NHS Greater Glasgow and Clyde
G101R,Loancroft House,G69 7HB,S08000031,NHS Greater Glasgow and Clyde
G101S,Broom House Hostel Circus Drive,G31 2JE,S08000031,NHS Greater Glasgow and Clyde
G101V,Fairburn House,G32 7BJ,S08000031,NHS Greater Glasgow and Clyde
G101W,Glasgow Gaelic School,G3 7HP,S08000031,NHS Greater Glasgow and Clyde
G102A,Care Inspectorate Renfrewshire House,PA1 1BF,S08000031,NHS Greater Glasgow and Clyde
G102B,Townhead Health Centre,G31 2ES,S08000031,NHS Greater Glasgow and Clyde
G102C,Clinic,G40 4AN,S08000031,NHS Greater Glasgow and Clyde
G102G,AHP GGC Dietetic Diabetes,,NA,NA
G102H,Canniesburn Hospital,G31 2ER,S08000031,NHS Greater Glasgow and Clyde
G102L,London Road Primary School,G40 3RF,S08000031,NHS Greater Glasgow and Clyde
G102P,St Johns Approved School Springboig,G33 4EH,S08000031,NHS Greater Glasgow and Clyde
G102Q,Elmcroft Nursery School,G33 3SA,S08000031,NHS Greater Glasgow and Clyde
G102R,St Josephs Home,G21 2LP,S08000031,NHS Greater Glasgow and Clyde
G102S,Salvation Army,G1 5JH,S08000031,NHS Greater Glasgow and Clyde
G102V,Mount Vernon Nursing Home,G32 0RP,S08000031,NHS Greater Glasgow and Clyde
G102W,Auchenlodment Nursery,PA5 9QQ,S08000031,NHS Greater Glasgow and Clyde
G103A,Aurora House,G81 1BF,S08000031,NHS Greater Glasgow and Clyde
G103B,Baillieston Health Centre,G69 7AD,S08000031,NHS Greater Glasgow and Clyde
G103C,Clinic,G4 0EF,S08000031,NHS Greater Glasgow and Clyde
G103G,AHP GGC Dietetic Surgical,,NA,NA
G103H,Centre for Rheumatic Diseases,G4 0EH,S08000031,NHS Greater Glasgow and Clyde
G103L,Newlands Primary School,,NA,NA
G103Q,Newhurst Nursery School,G33 4EZ,S08000031,NHS Greater Glasgow and Clyde
G103R,Swinton Hill Residential Home,G69 6DW,S08000031,NHS Greater Glasgow and Clyde
G103S,Peter McCann Hostel,G4 0EX,S08000031,NHS Greater Glasgow and Clyde
G103V,Alexandra Court Nursing Home,G33 2PH,S08000031,NHS Greater Glasgow and Clyde
G103W,Carlibar Nursery,G78 1SW,S08000031,NHS Greater Glasgow and Clyde
G104A,Mitchell Library,G3 7DN,S08000031,NHS Greater Glasgow and Clyde
G104B,Easterhouse Health Centre,G34 9HQ,S08000031,NHS Greater Glasgow and Clyde
G104C,Garthamlock Clinic,G33 4LU,S08000031,NHS Greater Glasgow and Clyde
G104G,AHP GGC Dietetic Rehab,,NA,NA
G104H,Duke Street Hospital,G31 1HY,S08000031,NHS Greater Glasgow and Clyde
G104L,Quarrybrae Primary School,G31 5AL,S08000031,NHS Greater Glasgow and Clyde
G104Q,Sunnylea Nursery School,G33 4AB,S08000031,NHS Greater Glasgow and Clyde
G104R,Braidfauld Residential Home,G32 7RF,S08000031,NHS Greater Glasgow and Clyde
G104S,Calderbank House,G69 7UJ,S08000031,NHS Greater Glasgow and Clyde
G104V,Ashton Grange Care Centre,G32 9QD,S08000031,NHS Greater Glasgow and Clyde
G104W,Kidz at College,PA3 4DR,S08000031,NHS Greater Glasgow and Clyde
G105B,Parkhead Health Centre,G31 5BA,S08000031,NHS Greater Glasgow and Clyde
G105C,Clinic,G33 5HG,S08000031,NHS Greater Glasgow and Clyde
G105G,AHP GGC Dietetic Oncology,,NA,NA
G105H,Gartloch Hospital,G69 8EJ,S08000031,NHS Greater Glasgow and Clyde
G105L,St Michael's Primary School,G31 4HZ,S08000031,NHS Greater Glasgow and Clyde
G105Q,Pendeen School,,NA,NA
G105R,Cheviot Home,G33 5PT,S08000031,NHS Greater Glasgow and Clyde
G105S,Tarbert Association Hostel,G32 8XG,S08000031,NHS Greater Glasgow and Clyde
G105V,Greenfield Park Care Centre,G32 6BX,S08000031,NHS Greater Glasgow and Clyde
G105W,Kilbarchan Community Nursery,PA10 2LA,S08000031,NHS Greater Glasgow and Clyde
G106B,Shettleston Health Centre,G32 7JZ,S08000031,NHS Greater Glasgow and Clyde
G106C,Crail Street Clinic,G31 5RB,S08000031,NHS Greater Glasgow and Clyde
G106G,AHP GGC Dietetic Renal,,NA,NA
G106H,Glasgow Dental Hospital and School,G2 3JZ,S08000031,NHS Greater Glasgow and Clyde
G106L,Quarrybrae Nursery Class,G31 5AR,S08000031,NHS Greater Glasgow and Clyde
G106Q,Newhills School,G33 4HJ,S08000031,NHS Greater Glasgow and Clyde
G106V,Abbey Court Care Home,G34 0JH,S08000031,NHS Greater Glasgow and Clyde
G106W,Linwood Community Nursery,PA3 3NB,S08000031,NHS Greater Glasgow and Clyde
G107B,GP Surgery,G52 3QN,S08000031,NHS Greater Glasgow and Clyde
G107C,Carntyne Clinic,G33 3AL,S08000031,NHS Greater Glasgow and Clyde
G107G,AHP GGC Dietetic Cardiac,,NA,NA
G107H,Glasgow Royal Infirmary,G4 0SF,S08000031,NHS Greater Glasgow and Clyde
G107L,London Road Nursery School,G40 3RF,S08000031,NHS Greater Glasgow and Clyde
G107Q,Croftcroighn Primary School,G33 5NY,S08000031,NHS Greater Glasgow and Clyde
G107R,Eskdale,G34 9EG,S08000031,NHS Greater Glasgow and Clyde
G107V,Golfhill Nursing Home,G31 2HG,S08000031,NHS Greater Glasgow and Clyde
G107W,Maxwellton Park Nursery,PA1 2RN,S08000031,NHS Greater Glasgow and Clyde
G108B,Yokermill Medical Centre,G13 4PU,S08000031,NHS Greater Glasgow and Clyde
G108C,Provan Clinic,G21 2NW,S08000031,NHS Greater Glasgow and Clyde
G108G,AHP GGC Dietetic Gastro,,NA,NA
G108H,The Princess Royal Maternity Unit,G31 2ER,S08000031,NHS Greater Glasgow and Clyde
G108L,Parkhead Community Nursery - Unit 2,G31 5AR,S08000031,NHS Greater Glasgow and Clyde
G108Q,Woodcroft School,G33 5EQ,S08000031,NHS Greater Glasgow and Clyde
G108R,Carmichael House,G40 1HL,S08000031,NHS Greater Glasgow and Clyde
G108V,The Good Shepherd House,G32 8XG,S08000031,NHS Greater Glasgow and Clyde
G108W,Partnership Childcare Ltd,G52 4LY,S08000031,NHS Greater Glasgow and Clyde
G109B,GP Surgery,G72 7EX,S08000032,NHS Lanarkshire
G109C,Clinic,,NA,NA
G109G,Medicines Compliance,,NA,NA
G109H,Lightburn Hospital,G32 6NB,S08000031,NHS Greater Glasgow and Clyde
G109Q,St Johns List D School,,NA,NA
G109R,Fulton Lodge,G34 0DN,S08000031,NHS Greater Glasgow and Clyde
G109W,Gallowhill Nursery,PA3 4SF,S08000031,NHS Greater Glasgow and Clyde
G110B,Stepps Surgery,G33 6EY,S08000032,NHS Lanarkshire
G110C,Psychiatric Clinic,G31 2HX,S08000031,NHS Greater Glasgow and Clyde
G110G,Psychological Trauma Service,,NA,NA
G110H,Acorn Street Day Hospital,G40 4AN,S08000031,NHS Greater Glasgow and Clyde
G110R,Peter McEachran House,G31 3LW,S08000031,NHS Greater Glasgow and Clyde
G110W,Erskine Community Nursery,PA8 7AE,S08000031,NHS Greater Glasgow and Clyde
G111B,Whiteinch Medical Practice,G14 9UT,S08000031,NHS Greater Glasgow and Clyde
G111C,Clinic,G40 2QF,S08000031,NHS Greater Glasgow and Clyde
G111G,CAT (Community Addiction Team) - Request for Information,,NA,NA
G111H,Parkhead Hospital,G31 5ES,S08000031,NHS Greater Glasgow and Clyde
G111R,Carntyne Care House,G32 6AD,S08000031,NHS Greater Glasgow and Clyde
G111W,Barrhead Community Nursery,G78 1AJ,S08000031,NHS Greater Glasgow and Clyde
G112B,GP Surgery,G66 1HZ,S08000031,NHS Greater Glasgow and Clyde
G112C,Clinic,G40 2QA,S08000031,NHS Greater Glasgow and Clyde
G112G,Adult Social Work Services,,NA,NA
G112H,Parkview Resource Centre,G32 7AX,S08000031,NHS Greater Glasgow and Clyde
G112R,Erskine Park (Dementia Unit),PA7 5PU,S08000031,NHS Greater Glasgow and Clyde
G112W,Leven Valley Enterprise Centre,G82 5BN,S08000031,NHS Greater Glasgow and Clyde
G113B,Barony Medical Centre,G21 4AH,S08000031,NHS Greater Glasgow and Clyde
G113C,Clinic,G33 4LU,S08000031,NHS Greater Glasgow and Clyde
G113G,Youth Health Service (YHS),,NA,NA
G113H,Auchinlea Resource Centre,G34 9HQ,S08000031,NHS Greater Glasgow and Clyde
G113R,Adams House,PA5 9NX,S08000031,NHS Greater Glasgow and Clyde
G113W,St Benedicts High School,PA3 3BH,S08000031,NHS Greater Glasgow and Clyde
G114B,Ardoch Medical Centre,G72 8HA,S08000032,NHS Lanarkshire
G114C,Clinic,G32 7AX,S08000031,NHS Greater Glasgow and Clyde
G114G,East End Orthodontics,,NA,NA
G114W,Glenfield Nursery,PA2 8QE,S08000031,NHS Greater Glasgow and Clyde
G115B,Regent Gardens Surgery,G66 1XJ,S08000031,NHS Greater Glasgow and Clyde
G115C,Glasgow Ophthalmic Institute Clinic,G2 2TQ,S08000031,NHS Greater Glasgow and Clyde
G115G,Emergency Dental Treatment Centre - Out of Hours,,NA,NA
G115L,Littlehill Primary School,G33 1LH,S08000031,NHS Greater Glasgow and Clyde
G115W,Strathclyde University,G4 0NG,S08000031,NHS Greater Glasgow and Clyde
G116B,Lonend Surgery,PA1 1SU,S08000031,NHS Greater Glasgow and Clyde
G116C,Limb & Appliance Centre,G31 4PQ,S08000031,NHS Greater Glasgow and Clyde
G116G,Emergency Dental Treatment Centre,,NA,NA
G116L,Golfhill Primary School,G31 2QF,S08000031,NHS Greater Glasgow and Clyde
G116W,Glencoats Primary School,PA3 1NS,S08000031,NHS Greater Glasgow and Clyde
G117B,"GP Surgery, Bridgeton",G40 1HA,S08000031,NHS Greater Glasgow and Clyde
G117C,Molendinar Clinic,G33 1LG,S08000031,NHS Greater Glasgow and Clyde
G117G,AHP GG&C Clyde Occupational Therapy,,NA,NA
G117L,Rosemount Primary School,,NA,NA
G117W,Foxlea Family Centre,PA2 0NN,S08000031,NHS Greater Glasgow and Clyde
G118B,Twechar Healthy Living Centre,G65 9TA,S08000031,NHS Greater Glasgow and Clyde
G118C,Barlanark Clinic,G33 4RY,S08000031,NHS Greater Glasgow and Clyde
G118G,AHP GG&C Clyde Physiotherapy,,NA,NA
G118L,Royston Primary School,G21 2NU,S08000031,NHS Greater Glasgow and Clyde
G118W,Open (Enable),PA1 1HF,S08000031,NHS Greater Glasgow and Clyde
G119B,Allander Medical Practice,G22 5SS,S08000031,NHS Greater Glasgow and Clyde
G119C,Carmyle Clinic,G32 8DR,S08000031,NHS Greater Glasgow and Clyde
G119G,AHP GG&C Dietetics,,NA,NA
G119L,Riddrie Primary School,,NA,NA
G119Q,Garthamlock Primary School,G33 5BH,S08000031,NHS Greater Glasgow and Clyde
G119W,West Lane Gardens,PA5 8RN,S08000031,NHS Greater Glasgow and Clyde
G120B,GP Surgery,G12 8SP,S08000031,NHS Greater Glasgow and Clyde
G120C,Barlanark Parent Support Group,G33 4PN,S08000031,NHS Greater Glasgow and Clyde
G120G,AHP GG&C North Occupational Therapy,,NA,NA
G120L,St David's Primary School,,NA,NA
G120Q,Ruchazie Primary School,G33 3RB,S08000031,NHS Greater Glasgow and Clyde
G120W,Inverclyde Academy,PA16 0FB,S08000031,NHS Greater Glasgow and Clyde
G121C,Calton Parent Support Group,G40 1AG,S08000031,NHS Greater Glasgow and Clyde
G121G,AHP GG&C North Physiotherapy,,NA,NA
G121L,St Gilbert's Primary School,G21 2AH,S08000031,NHS Greater Glasgow and Clyde
G121Q,Sunnyside Primary School,G33 5LA,S08000031,NHS Greater Glasgow and Clyde
G121W,East Fulton Nursery,PA3 3SG,S08000031,NHS Greater Glasgow and Clyde
G122C,Cascade,G1 4__,NA,NA
G122G,AHP GG&C Rheumatology Occupational Therapy,,NA,NA
G122L,St Mungo's Primary School,G4 0PX,S08000031,NHS Greater Glasgow and Clyde
G122Q,St Philip's Primary School,G33 3RD,S08000031,NHS Greater Glasgow and Clyde
G122W,Leaps and Bounds,PA1 1PS,S08000031,NHS Greater Glasgow and Clyde
G123C,East End Drugs Initiative,G31 4AP,S08000031,NHS Greater Glasgow and Clyde
G123G,AHP GG&C Rheumatology Physiotherapy,,NA,NA
G123L,St Philomena's Primary School,G33 1EA,S08000031,NHS Greater Glasgow and Clyde
G123Q,St Rose of Lima Primary School,G33 5QS,S08000031,NHS Greater Glasgow and Clyde
G123W,Ralston Nursery,PA1 3AT,S08000031,NHS Greater Glasgow and Clyde
G124C,Ecoda(Easterhouse Comm.On Drug Abuse,G34 9BU,S08000031,NHS Greater Glasgow and Clyde
G124G,AHP GG&C Speech and Language Therapy,,NA,NA
G124L,St Roch's Primary School,G21 2BS,S08000031,NHS Greater Glasgow and Clyde
G124Q,St Thenog's Primary School,,NA,NA
G124W,St Anne's Nursery,PA8 7AE,S08000031,NHS Greater Glasgow and Clyde
G125C,G21 Drug Group,G21 2HN,S08000031,NHS Greater Glasgow and Clyde
G125G,AHP GG&C South Occupational Therapy,,NA,NA
G125L,Allan Glen's Secondary School,,NA,NA
G125Q,Garthamlock Secondary School,G33 5HG,S08000031,NHS Greater Glasgow and Clyde
G125W,St James Nursery,PA4 8ET,S08000031,NHS Greater Glasgow and Clyde
G126C,Glasgow Associatn for Mental Health,G1 4AU,S08000031,NHS Greater Glasgow and Clyde
G126G,AHP GG&C South Physiotherapy,,NA,NA
G126L,St Roch's Secondary School,G21 2NF,S08000031,NHS Greater Glasgow and Clyde
G126Q,St Gregory's Secondary School,G33 3QD,S08000031,NHS Greater Glasgow and Clyde
G126W,St Mary's Nursery,PA1 2RJ,S08000031,NHS Greater Glasgow and Clyde
G127C,Haghill Druglink - Project Flat,G31 3QJ,S08000031,NHS Greater Glasgow and Clyde
G127G,AHP GG&C Rotational OT,,NA,NA
G127L,Whitehill Secondary School,G31 2QF,S08000031,NHS Greater Glasgow and Clyde
G127Q,Kincardine Nursery School,G33 5BU,S08000031,NHS Greater Glasgow and Clyde
G127W,Wallace Nursery,PA5 9AW,S08000031,NHS Greater Glasgow and Clyde
G128C,Hope House Family Support Group,G31 4AU,S08000031,NHS Greater Glasgow and Clyde
G128G,AHP GG&C Rotational Physiotherapy,,NA,NA
G128L,Cathedral Square Nursery School,G4 0XA,S08000031,NHS Greater Glasgow and Clyde
G128Q,Easthall Nursery School,G34 9AR,S08000031,NHS Greater Glasgow and Clyde
G128W,Houston Nursery,PA6 7EJ,S08000031,NHS Greater Glasgow and Clyde
G129C,Open Door,G31 4XA,S08000031,NHS Greater Glasgow and Clyde
G129G,Weigh to Go,,NA,NA
G129L,Molendinar Nursery School,G33 1HE,S08000031,NHS Greater Glasgow and Clyde
G129Q,Sandaig Nursery Shcool,G33 4TE,S08000031,NHS Greater Glasgow and Clyde
G129W,Drumchapel High School,G15 7SQ,S08000031,NHS Greater Glasgow and Clyde
G130C,South Carntyne Family Support Group,G32 6BY,S08000031,NHS Greater Glasgow and Clyde
G130G,AHP Regional Services,,NA,NA
G130L,St Mungos Nursery School,G4 0PX,S08000031,NHS Greater Glasgow and Clyde
G130W,Rosshall Academy,G52 3PD,S08000031,NHS Greater Glasgow and Clyde
G131C,Royston Support Group,G21 2NW,S08000031,NHS Greater Glasgow and Clyde
G131G,GGC Carers Organisations,,NA,NA
G131L,Royston Nursery School,G21 2NF,S08000031,NHS Greater Glasgow and Clyde
G131W,Rutherglen High School,G73 3DN,S08000032,NHS Lanarkshire
G132C,Scottish Aids Monitor,G2 2UT,S08000031,NHS Greater Glasgow and Clyde
G132G,Specialist Nursing Service,,NA,NA
G132L,Parkhill School,G31 3LP,S08000031,NHS Greater Glasgow and Clyde
G132W,Newark Primary School,PA14 5SU,S08000031,NHS Greater Glasgow and Clyde
G133C,Foxley House Residential Home,G32 9QN,S08000031,NHS Greater Glasgow and Clyde
G133G,WISER Palliative Care,,NA,NA
G133L,Ashcraig School,G33 3SW,S08000031,NHS Greater Glasgow and Clyde
G133W,Newark Nursery Class,PA14 5SU,S08000031,NHS Greater Glasgow and Clyde
G134C,Buchanan House Rest Home,G31 5RP,S08000031,NHS Greater Glasgow and Clyde
G134G,Brain Injury Services,,NA,NA
G134L,Hazeldene Nursery,G77 5TN,S08000031,NHS Greater Glasgow and Clyde
G134W,Choices Program,G81 5JY,S08000031,NHS Greater Glasgow and Clyde
G135C,Lochlaiden Court Sheltered Housing,G32 9EA,S08000031,NHS Greater Glasgow and Clyde
G135L,Hillend Childrens Centre,PA15 2EF,S08000031,NHS Greater Glasgow and Clyde
G135W,Hazelwood High School,G41 5DQ,S08000031,NHS Greater Glasgow and Clyde
G136C,Orchard Court Sheltered Housing,G32 8EF,S08000031,NHS Greater Glasgow and Clyde
G136L,Key Enterprises,PA2 9AW,S08000031,NHS Greater Glasgow and Clyde
G136W,Kilmacolm Nursery,PA13 4LH,S08000031,NHS Greater Glasgow and Clyde
G137C,Edrom Path Sheltered Housing,G32 7BW,S08000031,NHS Greater Glasgow and Clyde
G137W,St Benedicts Primary School,PA3 3BH,S08000031,NHS Greater Glasgow and Clyde
G138C,Fernan Street Sheltered Housing,G32 7HD,S08000031,NHS Greater Glasgow and Clyde
G138W,Cochrane Castle Primary School,PA5 0BB,S08000031,NHS Greater Glasgow and Clyde
G139C,Easterhouse Drug Initiative,G34 9EA,S08000031,NHS Greater Glasgow and Clyde
G139L,Barrowfield Primary School,G40 3SL,S08000031,NHS Greater Glasgow and Clyde
G139W,Miller Primary School,G45 0EL,S08000031,NHS Greater Glasgow and Clyde
G140C,Molendinar Drug Services,G21 2NW,S08000031,NHS Greater Glasgow and Clyde
G140L,Dalmarnock Primary School,G40 3BA,S08000031,NHS Greater Glasgow and Clyde
G140W,Camstradden Primary School,G15 7LG,S08000031,NHS Greater Glasgow and Clyde
G141C,Calton Athletic Recovery Group,G31 2LZ,S08000031,NHS Greater Glasgow and Clyde
G141L,Good Shepherd Primary School,,NA,NA
G141Q,Budhill Primary School,,NA,NA
G141W,Antonine Primary School,G15 8PR,S08000031,NHS Greater Glasgow and Clyde
G142C,Glasgow Council On Alcohol,G2 4JL,S08000031,NHS Greater Glasgow and Clyde
G142L,Greenview School,G45 9SR,S08000031,NHS Greater Glasgow and Clyde
G142Q,Caledonia Primary School,G69 7DJ,S08000031,NHS Greater Glasgow and Clyde
G142W,Wallacewell Primary School,G21 3RH,S08000031,NHS Greater Glasgow and Clyde
G143C,Barrowfield Project,G40 3QY,S08000031,NHS Greater Glasgow and Clyde
G143L,Ladywell School,G14 9RN,S08000031,NHS Greater Glasgow and Clyde
G143Q,Carmyle Primary School,G32 8AG,S08000031,NHS Greater Glasgow and Clyde
G143W,St Maria Goretti Primary School,G33 3LB,S08000031,NHS Greater Glasgow and Clyde
G144C,Social Work Department (Homeless Unit),G1 4SF,S08000031,NHS Greater Glasgow and Clyde
G144L,Our Lady of Fatima [School],,NA,NA
G144Q,Garrowhill Primary School,G69 6RN,S08000031,NHS Greater Glasgow and Clyde
G144W,Inverkip Nursery,PA16 0AY,S08000031,NHS Greater Glasgow and Clyde
G145C,Melmilaap Clinic,G3 7HY,S08000031,NHS Greater Glasgow and Clyde
G145L,St Alphonsus' Primary School,,NA,NA
G145Q,Mount Vernon Primary School,G32 9JQ,S08000031,NHS Greater Glasgow and Clyde
G145W,St Peter The Apostle High School,G81 2DB,S08000031,NHS Greater Glasgow and Clyde
G146L,St Anne's Primary School,G40 2UN,S08000031,NHS Greater Glasgow and Clyde
